label,file,algo,cid,service_type,node_id,local_step,wait_time,pull_time,deploy_delay,completion_time,run_time,reuse_mb,downloaded_mb
baseline,result_500.json,FG-DSCR,c017,default,edge-6,18,975.0,180.0,1155.0,1177.0,22.0,4472,1800
baseline,result_500.json,FG-DSCR,c377,default,edge-6,19,1177.0,0.0,1177.0,1199.0,22.0,6272,0
baseline,result_500.json,FG-DSCR,c497,default,edge-6,20,1199.0,0.0,1199.0,1221.0,22.0,6272,0
baseline,result_500.json,FG-DSCR,c467,default,edge-6,21,1221.0,0.0,1221.0,1243.0,22.0,6272,0
baseline,result_500.json,FG-DSCR,c257,default,edge-6,22,1243.0,0.0,1243.0,1265.0,22.0,6272,0
baseline,result_500.json,FG-DSCR,c347,default,edge-6,23,1265.0,0.0,1265.0,1287.0,22.0,6272,0
baseline,result_500.json,FG-DSCR,c227,default,edge-6,24,1287.0,0.0,1287.0,1309.0,22.0,6272,0
baseline,result_500.json,FG-DSCR,c167,default,edge-6,25,1309.0,0.0,1309.0,1331.0,22.0,6272,0
baseline,result_500.json,FG-DSCR,c107,default,edge-6,26,1331.0,0.0,1331.0,1353.0,22.0,6272,0
baseline,result_500.json,FG-DSCR,c287,default,edge-6,27,1353.0,0.0,1353.0,1375.0,22.0,6272,0
baseline,result_500.json,FG-DSCR,c407,default,edge-6,28,1375.0,0.0,1375.0,1397.0,22.0,6272,0
baseline,result_500.json,FG-DSCR,c197,default,edge-6,29,1397.0,0.0,1397.0,1419.0,22.0,6272,0
baseline,result_500.json,FG-DSCR,c137,default,edge-6,30,1419.0,0.0,1419.0,1441.0,22.0,6272,0
baseline,result_500.json,FG-DSCR,c317,default,edge-6,31,1441.0,0.0,1441.0,1463.0,22.0,6272,0
baseline,result_500.json,FG-DSCR,c077,default,edge-6,32,1463.0,0.0,1463.0,1485.0,22.0,6272,0
baseline,result_500.json,FG-DSCR,c047,default,edge-6,33,1485.0,0.0,1485.0,1507.0,22.0,6272,0
baseline,result_500.json,FG-DSCR,c437,default,edge-6,34,1507.0,0.0,1507.0,1529.0,22.0,6272,0
baseline,result_500.json,FG-DSCR,c163,default,edge-6,35,1529.0,0.4,1529.4,1551.4,22.0,5628,4
baseline,result_500.json,FG-DSCR,c373,default,edge-6,36,1551.4,0.0,1551.4,1573.4,22.0,5632,0
